기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반	비고
기간	자치구	동	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상	비고
2018	합계	합계	332,512	244,552	87,960	62,754	44,103	18,651	25,265	16,157	9,108	244,493	184,292	60,201	-
2018	종로구	소계	8,668	6,164	2,504	1,302	967	335	389	201	188	6,977	4,996	1,981	-
2018	종로구	사직동	1,822	1,285	537	59	33	26	7	3	4	1,756	1,249	507	-
2018	종로구	삼청동	167	112	55	14	9	5	3	2	1	150	101	49	-
2018	종로구	부암동	331	244	87	37	30	7	13	8	5	281	206	75	-
2018	종로구	평창동	649	438	211	59	35	24	23	11	12	567	392	175	-
2018	종로구	무악동	236	176	60	52	36	16	14	9	5	170	131	39	-
2018	종로구	교남동	346	104	242	53	25	28	32	3	29	261	76	185	-
2018	종로구	가회동	196	145	51	19	13	6	8	4	4	169	128	41	-
2018	종로구	종로1.2.3.4가동	949	710	239	286	254	32	45	32	13	618	424	194	-
2018	종로구	종로5·6가동	401	316	85	66	58	8	22	10	12	313	248	65	-
2018	종로구	이화동	353	257	96	56	39	17	40	21	19	257	197	60	-
2018	종로구	창신1동	497	435	62	174	148	26	18	14	4	305	273	32	-
2018	종로구	창신2동	471	379	92	102	76	26	22	8	14	347	295	52	-
2018	종로구	창신3동	227	159	68	39	28	11	14	5	9	174	126	48	-
2018	종로구	숭인1동	409	304	105	63	48	15	25	19	6	321	237	84	-
2018	종로구	숭인2동	566	408	158	123	82	41	35	18	17	408	308	100	-
2018	종로구	청운효자동	448	269	179	52	22	30	32	13	19	364	234	130	-
2018	종로구	혜화동	600	423	177	48	31	17	36	21	15	516	371	145	-
2018	중구	소계	5,935	4,440	1,495	1,416	1,011	405	308	176	132	4,211	3,253	958	-
2018	중구	소공동	62	52	10	8	8	-	1	1	-	53	43	10	-
2018	중구	회현동	480	392	88	172	150	22	11	5	6	297	237	60	-
2018	중구	명동	167	131	36	32	28	4	4	2	2	131	101	30	-
2018	중구	필동	244	176	68	35	23	12	8	7	1	201	146	55	-
2018	중구	장충동	178	134	44	29	21	8	5	4	1	144	109	35	-
2018	중구	광희동	364	299	65	54	38	16	11	6	5	299	255	44	-
2018	중구	을지로동	225	177	48	41	27	14	8	5	3	176	145	31	-
2018	중구	신당5동	428	320	108	111	81	30	25	12	13	292	227	65	-
2018	중구	황학동	529	417	112	138	97	41	25	13	12	366	307	59	-
2018	중구	중림동	477	358	119	152	110	42	28	16	12	297	232	65	-
2018	중구	신당동	442	343	99	101	79	22	26	12	14	315	252	63	-
2018	중구	다산동	567	444	123	104	78	26	25	18	7	438	348	90	-
2018	중구	약수동	867	567	300	219	138	81	79	45	34	569	384	185	-
2018	중구	청구동	635	440	195	185	111	74	37	24	13	413	305	108	-
2018	중구	동화동	270	190	80	35	22	13	15	6	9	220	162	58	-
2018	용산구	소계	8,840	6,065	2,775	1,758	1,295	463	353	189	164	6,729	4,581	2,148	-
2018	용산구	후암동	768	511	257	182	115	67	29	16	13	557	380	177	-
2018	용산구	용산2가동	490	313	177	85	60	25	27	10	17	378	243	135	-
2018	용산구	남영동	785	634	151	367	321	46	20	17	3	398	296	102	-
2018	용산구	원효로2동	486	322	164	102	76	26	20	9	11	364	237	127	-
2018	용산구	효창동	218	139	79	27	18	9	14	8	6	177	113	64	-
2018	용산구	용문동	382	274	108	87	57	30	15	10	5	280	207	73	-
2018	용산구	이촌1동	687	379	308	15	9	6	5	1	4	667	369	298	-
2018	용산구	이촌2동	367	237	130	33	19	14	14	6	8	320	212	108	-
2018	용산구	이태원1동	327	209	118	47	31	16	16	11	5	264	167	97	-
2018	용산구	이태원2동	428	290	138	66	43	23	27	12	15	335	235	100	-
2018	용산구	서빙고동	425	257	168	54	35	19	15	6	9	356	216	140	-
2018	용산구	보광동	687	479	208	176	121	55	40	18	22	471	340	131	-
2018	용산구	청파동	815	618	197	189	143	46	30	19	11	596	456	140	-
2018	용산구	원효로1동	426	318	108	56	45	11	20	8	12	350	265	85	-
2018	용산구	한강로동	726	476	250	119	86	33	26	18	8	581	372	209	-
2018	용산구	한남동	823	609	214	153	116	37	35	20	15	635	473	162	-
2018	성동구	소계	10,313	7,647	2,666	1,670	1,212	458	601	374	227	8,042	6,061	1,981	-
2018	성동구	왕십리2동	631	477	154	95	62	33	45	31	14	491	384	107	-
2018	성동구	마장동	816	619	197	115	78	37	46	22	24	655	519	136	-
2018	성동구	사근동	331	239	92	38	29	9	21	16	5	272	194	78	-
2018	성동구	행당1동	581	437	144	109	81	28	38	21	17	434	335	99	-
2018	성동구	행당2동	706	523	183	85	59	26	36	23	13	585	441	144	-
2018	성동구	응봉동	466	330	136	9	8	1	12	7	5	445	315	130	-
2018	성동구	금호1가동	577	398	179	152	100	52	55	32	23	370	266	104	-
2018	성동구	금호4가동	512	375	137	67	52	15	3	2	1	442	321	121	-
2018	성동구	성수1가1동	489	384	105	70	60	10	16	11	5	403	313	90	-
2018	성동구	성수1가2동	455	336	119	89	57	32	41	26	15	325	253	72	-
2018	성동구	성수2가1동	776	607	169	168	135	33	54	27	27	554	445	109	-
2018	성동구	성수2가3동	375	295	80	36	25	11	13	9	4	326	261	65	-
